Issue,Titulo,Spec,Tipo de resolución,Solución
#50,"Taller subió a 50 pts pero no se recategorizó como Plata",v2-log-niveles-bidireccional,No es bug,"Falta certificado de academia — PLATA requiere docs + verificadoAfip + 1 certificado"
#51,"No se puede revocar documento aprobado",v2-log-niveles-bidireccional,Fix código,"Botón 'Revocar validación' en admin/talleres/[id] tab Formalización + aplicarNivel()"
#52,"No se puede testear bajada de nivel",v2-log-niveles-bidireccional,Fix código,"Resuelto junto con #51 — ahora se puede revocar para testear"
#53-60,"No se pudo probar porque sistema no cambia nivel (8 issues)",v2-log-niveles-bidireccional,No es bug,"Cascada de #50 — falta certificado academia para subir de nivel"
#61-62,"No se pudo probar porque no cambia nivel",v2-log-niveles-bidireccional,Deploy desactualizado,"El fix de revocar se deployó después de la auditoría"
#63-64,"Pedido no generó notificaciones a talleres",v2-notificaciones-accionables,Diseño correcto,"Matching solo envía a talleres PLATA/ORO con capacidad suficiente. BRONCE no recibe"
#65-69,"No hay notificaciones generadas (5 issues)",v2-notificaciones-accionables,Cascada de #63,"Sin talleres compatibles no se generan notificaciones"
#70,"Texto de notificación incorrecto",v2-notificaciones-accionables,Cascada de #63,"Sin notificaciones generadas no se puede verificar el texto"
#71,"No hay notificaciones en bandeja",v2-notificaciones-accionables,Cascada de #63,"Sin talleres compatibles no se generan notificaciones"
#72,"Se muestra bien correcta",v2-notificaciones-accionables,Falso positivo,"Sergio confirma que funciona correctamente"
#73,"No tiene más el cartel de nueva",v2-notificaciones-accionables,Falso positivo,"Comportamiento esperado — mark-as-read al click elimina el badge"
#74,"Error React #418 en consola",v2-notificaciones-accionables,Fix código,"suppressHydrationWarning en timeAgo de activity-timeline (fecha relativa server vs client)"
#75,"Está activo",v2-rag-corpus-real,Falso positivo,"Sergio confirma que funciona correctamente"
#76,"No se puede cargar documento RAG",v2-rag-corpus-real,Configuración pendiente,"Falta VOYAGE_API_KEY en Vercel — RAG va en V3"
#77,"LLM no funciona",v2-rag-corpus-real,Configuración pendiente,"Falta ANTHROPIC_API_KEY en Vercel — LLM va en V3"
#78,"3.68 segundos de carga",v2-rag-corpus-real,Fix performance,"396ms después de: fix middleware fuentes + queries paralelas + deploy actualizado"
#79,"Flag asistente_rag habilitado",v2-rag-corpus-real,Configuración,"Desactivado en producción — sin API keys no tiene sentido mostrar la UI"
#80,"Flag llm_enabled habilitado",v2-rag-corpus-real,Configuración,"Desactivado en producción — sin API keys no tiene sentido mostrar la UI"
#81,"ESTADO → Acceso No Autorizado en /admin/auditorias",v2-seguridad-tests-e2e,Deploy desactualizado,"Middleware ya tenía la regla correcta pero producción era del 17/04"
#82,"CONTENIDO → Acceso No Autorizado en /admin/colecciones",v2-seguridad-tests-e2e,Deploy desactualizado,"Middleware ya tenía la regla correcta pero producción era del 17/04"
#83,"ADMIN → Acceso No Autorizado en /estado",v2-seguridad-tests-e2e,Deploy desactualizado,"Middleware ya tenía la regla correcta pero producción era del 17/04"
#84,"Página /unauthorized sin header de la plataforma",v2-seguridad-tests-e2e,Fix código,"Header PDT con nombre usuario + link 'Ir al panel' según rol + español argentino"
#85,"Documento subido no se ve en checklist del taller",v2-config-piloto-pre-deploy,Fix código,"Botón 'Ver documento' con signed URL de Supabase (1h expiración) generada server-side"
#86,"Failed to decode downloaded font",v2-config-piloto-pre-deploy,Fix código,"Middleware no excluía .woff2 — fuentes redirigidas al login. Agregado al regex"
#87,"Tiene puntos pero no cambia a PLATA",v2-epica-academia,No es bug,"Mismo que #50 — falta certificado de academia"
#88,"KPIs confusos en admin/notificaciones",v2-actividad-contextual-pedidos,Fix código,"Contadores filtrados con createdById != null — solo comunicaciones del admin"
